year,state,county_name,county_fips,party,candidatevotes,totalvotes
2020,IOWA,JONES,19105,DEMOCRAT,3145,10989
2020,VIRGINIA,NEW KENT,51127,DEMOCRAT,3143,14471
2004,TEXAS,COOKE,48097,DEMOCRAT,3142,15107
2016,ALASKA,DISTRICT 39,2039,DEMOCRAT,3142,5639
2004,KENTUCKY,ANDERSON,21005,DEMOCRAT,3141,9591
2008,OHIO,HOLMES,39075,DEMOCRAT,3141,11113
2016,ARKANSAS,COLUMBIA,5027,DEMOCRAT,3140,8887
2020,NORTH CAROLINA,MADISON,37115,DEMOCRAT,3140,13076
2000,TEXAS,BROWN,48049,DEMOCRAT,3138,12920
2012,GEORGIA,BROOKS,13027,DEMOCRAT,3138,6742
2012,ILLINOIS,UNION,17181,DEMOCRAT,3137,8282
2020,VIRGINIA,MANASSAS PARK CITY,51685,DEMOCRAT,3137,6088
2012,IOWA,HARRISON,19085,DEMOCRAT,3136,7322
2020,NORTH CAROLINA,CASWELL,37033,DEMOCRAT,3136,12051
2004,ARKANSAS,CROSS,5037,DEMOCRAT,3135,7074
2004,MISSISSIPPI,COVINGTON,28031,DEMOCRAT,3135,8194
2012,VIRGINIA,GREENSVILLE,51081,DEMOCRAT,3135,4926
2016,COLORADO,ELBERT,8039,DEMOCRAT,3134,15978
2016,MINNESOTA,AITKIN,27001,DEMOCRAT,3134,9231
2016,WASHINGTON,ASOTIN,53003,DEMOCRAT,3134,9736
2012,NEBRASKA,WASHINGTON,31177,DEMOCRAT,3132,10246
2008,TENNESSEE,MCNAIRY,47109,DEMOCRAT,3131,10422
2008,ALASKA,DISTRICT 27,2027,DEMOCRAT,3130,8498
2020,ALASKA,DISTRICT 11,2011,DEMOCRAT,3130,10628
2016,LOUISIANA,BIENVILLE,22013,DEMOCRAT,3129,7005
2008,TEXAS,ERATH,48143,DEMOCRAT,3128,14019
2016,VIRGINIA,BUCKINGHAM,51029,DEMOCRAT,3128,7295
2012,ALASKA,DISTRICT 24,2024,DEMOCRAT,3128,7289
2000,NORTH CAROLINA,YADKIN,37197,DEMOCRAT,3127,13682
2020,ALABAMA,CHOCTAW,1023,DEMOCRAT,3127,7464
2004,MICHIGAN,CRAWFORD,26039,DEMOCRAT,3126,7235
